"","external_gene_name","geneid","log2foldchange","logCPM","F","PValue","p.val_adj","color"
"55","MYOZ1","ENSG00000177791",-3.12118818862933,1.69856948844475,128.747009708858,6.04421370795121e-23,1.29980815789491e-18,"Downregulated"
"56","SRARP","ENSG00000183888",-3.0837532667979,3.15844835570247,69.4099862366327,1.76975704723368e-14,3.80586253007603e-10,"Downregulated"
"57","PROC","ENSG00000115718",-3.05345868540999,0.767663132785376,125.991628831266,1.4434517280856e-22,3.10414294124809e-18,"Downregulated"
"58","NEB","ENSG00000183091",-3.05341561628449,4.52601527611866,99.1495145864975,5.65999801964499e-19,1.21718257412466e-14,"Downregulated"
"59",NA,"ENSG00000233766",-3.02788042921924,0.827291693470466,76.8618990191909,1.26340538573412e-15,2.71695328202123e-11,"Downregulated"
"60",NA,"ENSG00000237352",-2.98416341586545,1.96291337126599,98.0690203032385,8.44872897401621e-19,1.81689916586219e-14,"Downregulated"
"61","LINC03007","ENSG00000223561",-2.98156877135724,2.12032298544392,136.670330531022,5.6867503739553e-24,1.22293566791909e-19,"Downregulated"
"62",NA,"ENSG00000228314",-2.97852714110842,-0.261683578641512,141.967042219946,8.51645440927002e-25,1.83146352071352e-20,"Downregulated"
"63",NA,"ENSG00000253369",-2.97766553914124,2.24240084784737,58.8532846030373,9.54380971988509e-13,2.05239628026129e-08,"Downregulated"
"64","LOC105374235","ENSG00000223930",-2.96714515278866,3.51166772949146,87.3283333745823,3.01340445454782e-17,6.48032627950508e-13,"Downregulated"
"65","TMPRSS11E","ENSG00000087128",-2.95091357565556,2.38091667890427,88.9623242324942,1.75437448482684e-17,3.77278232962011e-13,"Downregulated"
"66","DDN","ENSG00000181418",-2.94969400723748,-0.303286759236726,113.631959085275,4.29169286866132e-21,9.22928551405616e-17,"Downregulated"
"67",NA,"ENSG00000236516",-2.94306780752522,0.379580375694437,146.285401079286,3.95877018066981e-25,8.51333527353043e-21,"Downregulated"
"68","ABRA","ENSG00000174429",-2.93295974173502,-0.88581289437663,105.61217358697,2.83830639398887e-20,6.10377790027306e-16,"Downregulated"
"69","ATOH1","ENSG00000172238",-2.93077715312325,1.55099619100926,60.7604482870169,4.66799377758826e-13,1.00385206187036e-08,"Downregulated"
"70","PCAT4","ENSG00000251321",-2.91514089675389,5.92640481152084,48.7911499047227,4.9697999673419e-11,1.06875548297688e-06,"Downregulated"
"71","CEL","ENSG00000170835",-2.88189508515433,0.965025913213685,116.024043442848,2.94880992326514e-21,6.34141573998167e-17,"Downregulated"
"72","CCDC141","ENSG00000163492",-2.86206855169596,1.86384821984849,116.888452415282,2.10599700709835e-21,4.52894656376501e-17,"Downregulated"
"73",NA,"ENSG00000285741",-2.86105085012529,-0.60319581823165,122.880236838388,1.83132200761927e-22,3.93825797738524e-18,"Downregulated"
"74","AMPD1","ENSG00000116748",-2.85919589844854,-0.269266821482295,81.5676562248865,2.02133375550674e-16,4.34687824121725e-12,"Downregulated"
"75","CAVIN4","ENSG00000170681",-2.85791887677897,0.499611713630322,113.588083353522,6.26247390556473e-21,1.3467450133917e-16,"Downregulated"
"76","C1QTNF9B","ENSG00000205863",-2.85455856171449,-0.862492558259115,150.242265133637,3.02583787500924e-26,6.50706435020738e-22,"Downregulated"
"77","ANPEP","ENSG00000166825",-2.83726515027119,8.41129331057511,65.5075972153087,7.4994617424982e-14,1.61275924772424e-09,"Downregulated"
"78","CHRNA1","ENSG00000138435",-2.83528602139763,-0.00213268382946143,95.948582605222,1.64435731586083e-18,3.53619040775872e-14,"Downregulated"
"79","TRIM54","ENSG00000138100",-2.82121715104215,0.399942997904553,85.4690386594911,6.15004022510252e-17,1.3225661504083e-12,"Downregulated"
"80",NA,"ENSG00000254314",-2.785372571287,-0.879630919935449,130.092195309003,1.39550797032941e-23,3.0010398901934e-19,"Downregulated"
"81",NA,"ENSG00000253821",-2.78351739807351,2.17278722719525,72.9397057069888,4.92223124000836e-15,1.0585258281638e-10,"Downregulated"
"82","H19","ENSG00000130600",-2.78011132924594,2.12483908431016,81.4170018542772,2.39291878415121e-16,5.14597184531718e-12,"Downregulated"
"83","DDIT4L","ENSG00000145358",-2.76648688605204,1.79659697612567,125.428979042698,1.57071472774865e-22,3.37782202202348e-18,"Downregulated"
"84","RN7SL4P","ENSG00000263740",-2.76627228141309,-0.757700543168219,86.5073872320302,2.7573165204246e-17,5.92960917717311e-13,"Downregulated"
"85","TMOD4","ENSG00000163157",-2.75982985840814,0.528369873554347,125.616310803027,1.6189038924149e-22,3.48145282063824e-18,"Downregulated"
"86","ANKRD1","ENSG00000148677",-2.75563660151338,1.27221826962482,58.0304010018003,1.33672307577296e-12,2.87462297444975e-08,"Downregulated"
"87","LINC02995","ENSG00000253955",-2.75229348424528,-0.295448258266284,91.7705824040939,6.01431522159785e-18,1.29337848840462e-13,"Downregulated"
"88","CACNG1","ENSG00000108878",-2.74089953065315,-0.771430628186467,141.430851025583,6.11011299782662e-25,1.31397980018261e-20,"Downregulated"
"89","CSF3","ENSG00000108342",-2.72098454795677,0.333443930977268,69.9343822511045,1.53584245670162e-14,3.30282920313682e-10,"Downregulated"
"90","ATP8B4","ENSG00000104043",-2.70511136082762,3.76214037382235,149.116554208591,1.56545287605911e-25,3.36650640996512e-21,"Downregulated"
"91","LINC00506","ENSG00000281392",-2.69759537873638,0.0656435227099595,150.947227436836,1.04944892303539e-25,2.25683990898761e-21,"Downregulated"
"92","NTM-AS3","ENSG00000238117",-2.69516596037153,1.43605676882036,80.6853648260992,3.16974934033178e-16,6.8165459563835e-12,"Downregulated"
"93",NA,"ENSG00000249307",-2.69504836447142,4.72055129473924,84.0588504856802,9.290149503922e-17,1.99784665081843e-12,"Downregulated"
"94","LINC01193","ENSG00000258710",-2.66576309527961,-1.24706678410508,102.907668004465,5.29651806908416e-20,1.13901621075655e-15,"Downregulated"
"95","FABP5","ENSG00000164687",-2.65293745972095,4.73735957938981,81.1840606246095,2.53858616006699e-16,5.45922953722407e-12,"Downregulated"
"96","PCOTH","ENSG00000205861",-2.6432777851657,-0.265756914780133,130.297085499398,3.26398871499793e-23,7.01920773160306e-19,"Downregulated"
"97","LOC105370340","ENSG00000287734",-2.6411650835605,1.04813086160369,68.5646185605099,2.52502220479345e-14,5.43006025140832e-10,"Downregulated"
"98","RPSAP47","ENSG00000188856",-2.63839419795911,0.477344016671658,171.645219585132,4.54712344705072e-28,9.77858897288257e-24,"Downregulated"
"99","POTEE","ENSG00000188219",-2.62415021469106,0.19517412192823,140.83924157232,1.8842582106638e-24,4.05209728203251e-20,"Downregulated"
"100","TFF3","ENSG00000160180",-2.61476710935246,8.25168037567314,72.2794856002083,6.14427450200885e-15,1.321326231657e-10,"Downregulated"
"101","AKR7A3","ENSG00000162482",-2.61405086040067,0.615748493097886,119.525572456424,1.01710184417529e-21,2.18727751589897e-17,"Downregulated"
"102","DIO1","ENSG00000211452",-2.61262023436731,1.5713365133655,60.1689714864446,5.80854363598812e-13,1.24912730891925e-08,"Downregulated"
"103","NMRK2","ENSG00000077009",-2.61041267096559,-1.22575951596276,102.866289105231,6.05666295146882e-20,1.30248536771337e-15,"Downregulated"
"104","ACTC1","ENSG00000159251",-2.59858047428489,3.58435455436396,68.487921510309,2.47655171977481e-14,5.32582447337573e-10,"Downregulated"
"105","MYOM1","ENSG00000101605",-2.58443675507872,3.54829223233976,112.79624089666,7.11429177025323e-21,1.52992844519296e-16,"Downregulated"
"106","LMOD3","ENSG00000163380",-2.58290276030084,0.642230721141268,128.711734230808,6.45603216876859e-23,1.38836971789369e-18,"Downregulated"
"107","MTND1P23","ENSG00000225972",-2.56394334939159,4.27928119802596,28.4644763634199,2.76756711850919e-07,0.00595165308835402,"Downregulated"
"108",NA,"ENSG00000229403",-2.55648175224068,-0.330490518543672,104.899962330267,8.44108282289376e-20,1.8152548610633e-15,"Downregulated"
"109",NA,"ENSG00000234964",-2.54916343206566,-0.83094726857277,83.8975601714773,7.37722476100463e-17,1.58647218485405e-12,"Downregulated"
"110","SLC6A19","ENSG00000174358",-2.53523599255845,0.219184793019368,63.4941801278492,1.68468890613824e-13,3.62292349265029e-09,"Downregulated"
"111",NA,"ENSG00000236666",-2.53044052961158,1.58515548837898,105.321965027046,8.00694880979694e-20,1.72189434154683e-15,"Downregulated"
"112","FAR2P1","ENSG00000286058",-2.49692209215332,2.04172668989899,77.5855089617946,9.24131309827681e-16,1.98734438178443e-11,"Downregulated"
"113","MYOM2","ENSG00000036448",-2.49403333528383,3.00762558251282,125.606162321221,1.40879583782471e-22,3.02961544924204e-18,"Downregulated"
"114","SCGB1D2","ENSG00000124935",-2.48677850808625,2.39993112394924,70.6560273125545,1.12303908705588e-14,2.41509555671367e-10,"Downregulated"
"115","TTN","ENSG00000155657",-2.48623182585316,4.66667960471036,101.57418992436,2.55780789206682e-19,5.5005658718897e-15,"Downregulated"
"116",NA,"ENSG00000279317",-2.48068576918957,-0.498884835655792,155.937146718021,2.03729261634879e-26,4.38119777145807e-22,"Downregulated"
"117","P3H2-AS1","ENSG00000225764",-2.48018655612545,-0.659187194348263,78.3214994505077,6.17117470863718e-16,1.32711112109243e-11,"Downregulated"
"118","ST18","ENSG00000147488",-2.46674677622194,0.614698898681832,122.089645122324,4.65850646234612e-22,1.00181181472753e-17,"Downregulated"
"119","ECT2L","ENSG00000203734",-2.45501545963334,0.992045558018648,81.5189503848735,2.3992018374307e-16,5.15948355139473e-12,"Downregulated"
